Target No.,Protein,equal_.33/.33/.33,0.50/0.30/0.20,0.50/0.20/0.30,0.40/0.35/0.25,0.40/0.30/0.30
13,LGALS3BP,0.522570666156454,0.566307514386196,0.5947832719619537,0.5315226781756235,0.5457605569635022
13,GAPDH,0.4323926201260747,0.3950283241285061,0.45449802109820303,0.39960599263613816,0.4293408411209867
13,LDHA,0.3360451381354452,0.348541271154155,0.35746708045323344,0.33937744027376787,0.34318578557470797
13,ALDOA,0.37843637991120593,0.41122729307082556,0.4346493738991254,0.38718062342043785,0.3971740445738458
13,ENO1,0.3498373132263852,0.3369832425668505,0.36684687893048695,0.33573659405348044,0.35066841223529865
13,PKM,0.4738778231420696,0.39125612865249837,0.4727258256221953,0.41638823625533194,0.4571230847401805
14,FN1,0.3566381458411842,0.28062592263026315,0.3122976823014802,0.3157084871891498,0.33130073810421057
14,ITGB1,0.2679105886191786,0.27367611456185204,0.27779434737804737,0.2694480622038915,0.27120517487213486
14,ANXA2,0.35769687177160436,0.38509985311195194,0.41012712583922467,0.3611498824895616,0.37366351885319793
14,MFGE8,0.3252070132226278,0.26836809559151753,0.33464688347030536,0.28258780980654735,0.31572720374594127
14,LGALS3BP,0.43130405206757527,0.3870088529632569,0.35536942503160107,0.4194919989730903,0.40599250972225054
14,GAPDH,0.2946575555914722,0.2609287576296326,0.2881499697508447,0.27299967277037274,0.2866102788309788
14,PGK1,0.19551070949724636,0.2086308111139822,0.21800231226879352,0.19900940326170927,0.20300791042109545
14,LDHA,0.2586740756869521,0.2518274430935386,0.24693699124110047,0.25684830699537514,0.2547617142050016
14,TPI1,0.2657624602724887,0.26311216624970174,0.2612190990905683,0.2650557151997455,0.2642480065451819
14,ALDOA,0.13950223192734015,0.1622565777879631,0.17850968197412234,0.14557005749017293,0.15250471527626755
15,FN1,0.49110646638728095,0.3822949519818299,0.42763308298410113,0.43251565093819194,0.454835961585464
15,ITGB1,0.19806501490179615,0.21424793529391184,0.22580716414542312,0.20238046033969367,0.20731239798300516
15,ANXA2,0.27157159124906904,0.29400994360679084,0.31003733814802076,0.27755515187779484,0.28439350688205295
15,LGALS3BP,0.35847418999326996,0.3480927374915875,0.34067741427610004,0.355705802659488,0.35254193142088003
15,HSP90AA1,0.4065123058409972,0.35803512542816246,0.4241684587614958,0.3672814336758633,0.40034810034252993
15,GAPDH,0.3969264235229445,0.36777751407229553,0.39597145346623497,0.3768086779245031,0.39090564762147284
15,LDHA,0.3231095427257419,0.32994753446778335,0.3348318142835274,0.3249330071902863,0.32701696657833706
15,PGK1,0.6304759047532836,0.6390039718506954,0.6450954483488468,0.6327500559792602,0.6353490859518047
15,ALDOA,0.30310219946267364,0.3194838099344026,0.331184960271352,0.3074706289218014,0.31246311973223306
15,ENO1,0.3081054431534584,0.3233136221236411,0.3341766071023432,0.3121609575455071,0.31679583113641996
16,FN1,0.1651906311202979,0.1651906311202979,0.1651906311202979,0.1651906311202979,0.1651906311202979
16,ITGB1,0.32728425801541156,0.3139538073677493,0.30443205690513353,0.323729471176035,0.31966685764531894
16,ANXA2,0.34428335092062173,0.3418693401659287,0.34014504676971935,0.34363961471937027,0.3429039162036543
16,LGALS3BP,0.24087303178632158,0.25139432003593226,0.2589095259285114,0.24367870865288443,0.2468851965003849
16,MFGE8,0.7159589459166001,0.6846456520927199,0.6622790136470912,0.7076087342302321,0.6980656351600972
16,GAPDH,0.3487853061550998,0.33658769329993526,0.32787511268910363,0.34553260939372255,0.3418152416664344
16,LDHA,0.18470657952829694,0.2048226183497651,0.21919121750795667,0.19007085654735512,0.1962014588548502
16,PKM,0.2313583858684204,0.24556161869916188,0.25570678500683436,0.2351459146232848,0.2394745189145584
16,PGK1,0.35601040914672766,0.34319482961522774,0.3340408442355851,0.35259292127166103,0.3486872208430135
16,TPI1,0.3590902017997452,0.32886275224968153,0.30727171685677895,0.35102954858639496,0.3418173734854231
17,FN1,0.2742970672343153,0.2742970672343153,0.2742970672343153,0.2742970672343153,0.2742970672343153
17,ITGB1,0.36782939227499317,0.3494837100407112,0.3363796513019384,0.3629372103458513,0.3573461452839749
17,ANXA2,0.2433859632320242,0.27089912070669686,0.2905513760457489,0.2507228052252703,0.25910776750326575
17,MFGE8,0.48908096621929903,0.45983605625897234,0.43894683485873903,0.481282323563212,0.4723695890991125
17,THBS1,0.5958777814670969,0.6115138935005378,0.6226825449529957,0.6000474113426811,0.6048127026290632
17,GAPDH,0.2586356632112263,0.2869309426503964,0.30714185653551807,0.2661810710616716,0.2748043943193235
17,ALDOA,0.30448768568817947,0.3212156677162849,0.33316422630778886,0.3089484808956742,0.3140465325613826
17,LDHA,0.2392618115053903,0.27907726438173786,0.30751687357912905,0.24987926560574966,0.2620134988633032
17,ENO1,0.3305810683842494,0.3411051233590996,0.3486223054839927,0.33338748304420945,0.3365948140841638
17,TKT,0.39894914807609055,0.386565222973901,0.37771956218662295,0.39564676804883997,0.39187261944626794
18,FN1,0.4431626900502841,0.3549467000718344,0.39170336256285504,0.3956617723695804,0.4137573600574675
18,THBS1,0.2196339998526085,0.2196339998526085,0.2196339998526085,0.21963399985260854,0.21963399985260854
18,MFGE8,0.320198733644975,0.25985533377853565,0.2849984170562187,0.28770613371689224,0.30008426702282853
18,ITGB1,0.1830483887659706,0.1830483887659706,0.1830483887659706,0.18304838876597057,0.18304838876597057
18,LGALS3BP,0.2147857056385032,0.2147857056385032,0.2147857056385032,0.2147857056385032,0.2147857056385032
18,GAPDH,0.22705374023436037,0.2270537402343604,0.2270537402343604,0.2270537402343604,0.2270537402343604
18,LDHA,0.2132922847003245,0.2132922847003245,0.2132922847003245,0.2132922847003245,0.2132922847003245
18,PGK1,0.1981046379393533,0.1981046379393533,0.1981046379393533,0.1981046379393533,0.1981046379393533
18,PKM,0.1866028093521001,0.1866028093521001,0.1866028093521001,0.1866028093521001,0.1866028093521001
18,ALDOA,0.20649470498617867,0.2064947049861787,0.2064947049861787,0.20649470498617872,0.20649470498617872
19,FN1,0.5521699822179318,0.4138142603113311,0.4714624777724147,0.47767074734514675,0.5060514082490649
19,ITGB1,0.44962361258075767,0.378059661295379,0.43887178250750014,0.40275439570296984,0.43316045630903044
19,ANXA2,0.4993868791763447,0.43574875048558254,0.3902929442778953,0.4824167115254748,0.4630222342101949
19,MFGE8,0.44142511245027727,0.38753896632042234,0.34904886194195456,0.42705547348231593,0.4106330289475031
19,LGALS3BP,0.27114026687658965,0.2546829093533128,0.24292765397954372,0.26675163820371584,0.26173606257757437
19,GAPDH,0.31808709166329163,0.2670700314343315,0.31203972840402844,0.2841893584807985,0.306674206965647
19,ENO1,0.23972652004754774,0.24147633187761655,0.24272619747052282,0.24019313653556607,0.2407264125218728
19,LDHA,0.2627250791400123,0.2526487731674396,0.24545141175845916,0.26003806421399295,0.256967190012828
19,PGK1,0.595144492662562,0.4939306158282025,0.4216349895179458,0.5681541255067327,0.5373079916143566
19,TPI1,0.29131783547588286,0.2992988094963687,0.30499950522528724,0.29344609521467907,0.29587839205901767
20,FN1,0.5603645097929282,0.4332350139898975,0.4862056372411603,0.49191016589898856,0.517988011191918
20,LGALS3BP,0.28925858414254124,0.30460353320847955,0.31556421111272126,0.29335057056012476,0.29802712646593454
20,ANXA2,0.35252028479498143,0.35089860901065395,0.40170769991974487,0.3366288872085232,0.36203343266306864
20,MFGE8,0.2627408124086292,0.26054722763199856,0.25898038136297674,0.26215585646819434,0.26148733539341174
20,ITGB1,0.46752231887604945,0.4051592358898319,0.46184711467771067,0.4255707220451988,0.4539146614391382
20,GAPDH,0.42469113780803636,0.39950640368175155,0.4394912521666,0.4026217896120679,0.42261421385449216
20,LDHA,0.33240016217237023,0.35065171786697796,0.3636885433631264,0.3372672436909323,0.34282962256928895
20,PKM,0.3193728742252119,0.34042821399363604,0.35546774239965334,0.32498763149679166,0.3314044969500257
20,ALDOA,0.432740076095246,0.40759176178572426,0.3896286801360659,0.42603385894604023,0.4183696107755193
20,ENO1,0.2105218036718315,0.2358795273170621,0.2539921870636554,0.21728386331055968,0.22501193146910614
